En	Aorist	Acc	Neg Ac	Unac	TRANS	PREPS
know	ⵙⵙⵏ	ⵙⵙⵏ	ⵙⵙⵉⵏ	ⵜⵜⵙⵙⵏ	Trans	
go	ⴷⴷⵓ	ⴷⴷⵉ|ⴷⴷⴰ	ⴷⴷⵉ	ⵜⵜⴷⴷⵓ	Intr	ⵙ
say	ⵉⵏⵉ	ⵏⵏⵉ|ⵏⵏⴰ	ⵏⵏⵉ	ⵜⵜⵉⵏⵉ	Trans	
do	ⵙⴽⵔ	ⵙⴽⵔ	ⵙⴽⵉ	ⵙⴽⴰⵔ	Trans	
see	ⵥⵕ	ⵥⵕⵉ|ⵥⵕⴰ	ⵥⵕⵉ	ⵥⵕⵕⴰ	Trans	
ask	ⵙⵇⵙⴰ	ⵙⵇⵙⴰ	ⵙⵇⵙⵉ	ⵙⴰⵇⵙⴰ	Trans	
be	ⴳ	ⴳⵉ|ⴳⴰ	ⴳⵉ	ⵜⵜⴳⴳⴰ	Trans	
take	ⴰⵡⵉ	ⵉⵡⵉ	ⵉⵡⵉ	ⵜⵜⴰⵡⵉ	Trans	
come	ⴰⵛⴽ	ⵓⵛⴽⵉ|ⵓⵙⴽⴰ	ⵓⵛⴽⵉ	ⵜⵜⴰⵛⴽ	Intr	ⵙ/...
leave	ⴼⵍ	ⴼⵍ	ⴼⵉⵍ	ⴼⴼⴰⵍ	Trans	
tell	ⵉⵏⵉ	ⵏⵏⵉ|ⵏⵏⴰ	ⵏⵏⵉ	ⵜⵜⵉⵏⵉ	Trans	
speak	ⵙⴰⵡⵍ	ⵙⴰⵡⵍ	ⵙⴰⵡⵉⵍ	ⵙⴰⵡⴰⵍ	Intr	ⵙ/ⵖⴼ ...
show	ⵎⵍ	ⵎⵍⵉ|ⵎⵍⴰ	ⵎⵍⵉ	ⵎⵎⴰⵍ	Trans	
eat	ⵛⵛ	ⵛⵛⵉ|ⵛⵛⴰ	ⵛⵛⵉ	ⵛⵜⵜⴰ	Trans	
find	ⴰⴼ	ⵓⴼⵉ|ⵓⴼⴰ	ⵓⴼⵉ	ⵜⵜⴰⴼⴰ	Trans	
drink	ⵙⵓ	ⵙⵡⵉ|ⵙⵡⴰ	ⵙⵡⵉ	ⵙⵙⴰ	Trans	
enter	ⴽⵛⵎ	ⴽⵛⵎ	ⴽⵛⵉⵎ	ⴽⵛⵛⵓⵎ	Trans	
come in	ⴽⵛⵎ	ⴽⵛⵎ	ⴽⵛⵉⵎ	ⴽⵛⵛⵓⵎ	Intr	ⵙ/...
go in	ⴽⵛⵎ	ⴽⵛⵎ	ⴽⵛⵉⵎ	ⴽⵛⵛⵓⵎ	Intr	ⵙ/...
go back	ⵓⵔⵔⵉ	ⵓⵔⵔⵉ	ⵓⵔⵔⵉ	ⵜⵜⵓⵔⵔⵉⵢ	Intr	ⵙ/...
return	ⴰⵖⵓⵍ	ⴰⵖⵓⵍ	ⴰⵖⵓⵍ	ⵜⵜⴰⵖⵓⵍ	Trans	
exist	ⵉⵍⵉ	ⵍⵍⵉ|ⵍⵍⴰ	ⵍⵍⵉ	ⵜⵜⵉⵍⵉ	Intr
have	ⴷⴰⵔ(ⵉ/ⴽ/ⵎ...)	ⵍⵍⵉ|ⵍⵍⴰ ⴷⴰⵔ(ⵉ/ⴽ/ⵎ...)	ⵍⵍⵉ ⴷⴰⵔ(ⵉ/ⴽ/ⵎ...)	ⵜⵜⵉⵍⵉ ⴷⴰⵔ(ⵉ/ⴽ/ⵎ...)	Trans	
read	ⵖⵔ	ⵖⵔⵉ|ⵖⵔⴰ	ⵖⵔⵉ	ⴰⵇⵇⵔⴰ	Trans	
call	ⵖⵔ	ⵖⵔⵉ|ⵖⵔⴰ	ⵖⵔⵉ	ⴰⵇⵇⵔⴰ	Trans	
want	ⵉⵔⵉ	ⵔⵉ|ⵔⴰ	ⵔⵉ	ⵜⵜⵉⵔⵉ	Trans	
love	ⵉⵔⵉ	ⵔⵉ|ⵔⴰ	ⵔⵉ	ⵜⵜⵉⵔⵉ	Trans	
wait	ⵇⵇⵍ	ⵇⵇⵍ	ⵇⵇⵉⵍ	ⵜⵜⵇⵇⵍ	Intr	ⵙ/...
sit down	ⴳⴰⵡⵔ	ⴳⴰⵡⵔ	ⴳⴰⵡⵉⵔ	ⵜⵜⴳⴰⵡⴰⵔ	Intr	ⵖⴼ
hear	ⵙⵍⵍⴰ	ⵙⵍⵍⴰ	ⵙⵍⵍⵉ	ⵜⵜⵙⵍⵍⴰ	Trans	
listen	ⵙⵙⴼⵍⴷ	ⵙⵙⴼⵍⴷ	ⵙⵙⴼⵍⵉⴷ	ⵙⵙⴼⵍⵉⴷ	Intr	ⵉ
stay	ⵖⴰⵎⴰ	ⵖⴰⵎⴰ	ⵖⴰⵎⴰ	ⵜⵜⵖⴰⵎⴰ	Intr	ⴳ
stop	ⴱⴷⴷ	ⴱⴷⴷ	ⴱⴷⴷⵉ	ⵜⵜⴱⴷⴰⴷ	Trans	
