know	ssn
go	ddu
say	ini
do	skr
see	ẓṛ
ask	sqsa
be	g
take	awi
come	ack
leave	fl
tell	ini
speak	sawl
show	ml
eat	cc
find	af
drink	su
enter	kcm
come in	kcm
go in	kcm
go back	urri
return	aɣul
exist	ili
have	dar
read	ɣr
call	ɣr
want	iri
love	iri
wait	qql
sit down	gawr
hear	slla
listen	ssfld
stay	ɣama
stop	bdd
stand up	bdd
get up	nkr
put	srs
put down	srs
write	ara
catch	amẓ
bring	awi (d)
kill	nɣ
sell	zznz
pass	zri
hold	asi
wash	ssird
buy	sɣ
go up	ali
remove	kks
delete	kks
remember	kʷti
forget	ttu
memorize	ḥsu
explain	ssfru
mean	ssumk
share	dru
send	azn
clean	ssizdg
work	swuri
run	azzl
make	skr
try	arm
hate	ksn
prefer	smyifi
play	urar
win	rz
beat	nnru
help	aws
understand	rms
look for	siggl
search	rzu
walk	zzigz
use	ssmrs
wear	ls
count	ssiḍn
learn	lmd
teach	sslmd
pray	ẓẓall
become	dul
think	swingm
set	srs
sleep	gn
lose	jlu
save	ssnjm
change	ssnfl
begin	ssnti
start	ssnti
select	sti
choose	sti
open	ṛẓm
close	qqn
lock	rgl
fall	ḍṛ
fill	ktur
laugh	ḍṣṣa
cook	ssnu
complain	smummi
finish	fḍḍu
complete	smd
cut	bbi
reverse	sgrawl
collect	gru
add	rnu
continue	smd
swear	ggall
communicate	msawal
discuss	msgdal
test	arm
smile	zmummg
draw	ssunɣ
paint	ɣm
fear	kṣuḍ
meet	mmaqqar
fix	sgadda
seem	irwis
jump	akʷi
join	dru
lie	skrks
live	ddr
die	mmt
fight	mmaɣ
advise	smmtr
fly	ayll
follow	ḍfṛ
get	amẓ
forgive	ssurf
escape	rwl
form	ssilɣ
give	fk
happen	msar
harm	kʷmi
smoke	kmi
heal	sujji
hide	ssntl
increase	snrni
decrease	snusru
hope	nnurz
invite	ɣr
look at	smaqql
mention	bdr
move	mmass
need	asr
obtain	amẓ
pay	fru
raise	all
repeat	als
solve	fsi
resolve	fsi
respect	zrk
steal	akʷr
succeed	murs
study	zru
suppose	urdu
swim	ccf
turn	ssutl
visit	rzf
wish	ssitm
worry	nnuɣjf
determine	suttu
analyze	ṣlḍ
feel	syafa
measure	sɣl
be aware	frk
observe	snaɣs
expect	ḍkḍ
erase	ssfḍ
enjoy	fjjij
divide	bḍu
separate	sngara
destroy	ndl
build	ẓku
refuse	agʷi
describe	glm
deserve	aklul
cry	alla
cover	dl
relax	nnulwu
cough	usu
confirm	sslkn
classify	sisml
verify	ssidt
cancel	ssr
burn	sskmḍ
brush	ssird
break	ṛẓ
believe	fls
trust	fls g
attack	ẓḍm
avoid	anf
appear	uman
agree	msasa
appreciate	ssutg
admit	ssikz
achieve	ssidt
access	lkm
arrive	lkm
accept	dggi
hurry	ɣawl
watch	annay
scream	sɣyyu
be sick	aḍn
be present	mmgnt
introduce	ssnkd
require	ssutr
manage	swuddu
grow	imɣur
develop	snfli
define	snml
decide	ɣts
create	snulfu
invent	snulfu
apply	sns
answer	rar
focus	nnumms
conclude	ssflu
plan	sɣiws
clarify	ssisfiw
simplify	ssfrar
imagine	sugn
represent	ggnses
prepare	smuttg
justify	ssnẓi
evaluate	ssutg
multiply	sgt
subtract	kks
execise	sluɣmu
integrate	ssidf
propose	ssumr
suggest	ssumr
practice	llal
express	snfali
factorize	smskr
arrange	snmala
order	ttr
demand	ttr
organize	ssuds
compose	sudds
conjugate	ssfti
pronounce	susru
encourage	ssbɣs
affect	zrer
cause	srg
copy	ssnɣl
paste	slɣ
produce	fars
link	asɣ
construct	ẓku
educate	ssgmi
execute	smahl
demonstrate	ssnẓi
publish	fsr
comment	ɣfawl
push	dḥi
consider	mggz
program	ssihl
hack	sɣndf
activate	srmd
correct	ssɣti
rise	ali
assist	aws
calculate	ssiḍn
cooperate	myawas
provide	fk
support	snal
translate	ssuɣl
improve	sfalki
predict	smnni
keep	ajj
enable	srmd
ensure	lkn
transform	snflɣa
process	smkl
recognize	akʷz
throw	gr
store	kcad
install	zzugz
download	zdm
recover	ssurri
murder	nɣ
resist	msnkar
touch	ggr
hurt	bri
swallow	lmẓ
thank	snimmr
celebrate	sfuglu
pride	burz
scare	ẓẓmu
disappear	ntl
pour ffi
treat	smkl
sacrifice	sfaska
smell	kḍu
shop	gdz
wave	sillf
fail	guf
shave	ḥffif
fart	skucci
serve	snar
sign	ssgmḍ
salute	ssazul
kiss	ssudm
design	sɣiws
punish	smrrt
reject	agʷi
underestimate	sslku
revive	ssudr
regret	igʷṛiẓ
explode	sbbaqqi
shock	nggs
train	slluɣmt
lay	ẓẓl
exchange	snnfka
consume	ssmar
borrow	ṛḍl
reach	awḍ
flow	ngi/nnɣl
vomit	rar
respond	rar
hunt	gʷmr
warm	ssrɣ
cool	sskrm
sing	irir

update  sdɣi

