DNA: ⵙⵎⴽ
English:  ⵜⴰⵏⴳⵍⵉⵣⵜ
Maris: ⵎⴰⵔⵉⵙ
Marisughl:  ⵎⴰⵔⵉⵙⵓⵖⵍ
Mohamed:  ⵎⵓⵃⵎⵎⴰⴷ
abilities:  ⵜⵉⵣⵎⵎⴰⵔ
ability:  ⵜⴰⵣⵎⵔⵜ
about:  ⵖⴼ
absolutely: ⵏⵉⵜ
abstract: ⴰⵎⴷⵡⴰⵏ
acceleration: ⴰⵏⵉⵎⵎⵔ
accelerator: ⴰⵎⵙⵉⵎⵎⵔ
accelerators: ⵉⵎⵙⵉⵎⵎⴰⵔ
access: ⴰⴷⴷⴰⴼ
account: ⴰⵎⵉⴹⴰⵏ
accounts: ⵉⵎⵉⴹⴰⵏⵏ
accuracy: ⵜⵉⵙⴷⴷⵉ
acid: ⴰⵙⵎⵎⴰⵎ
acids: ⵉⵙⵎⵎⴰⵎⵏ
action: ⵜⵉⴳⴰⵡⵜ
actions: ⵜⵉⴳⴰⵡⵉⵏ
activation: ⴰⵙⵔⵎⴷ
activities: ⵉⵔⵎⵓⴷⵏ
activity: ⴰⵔⵎⵓⴷ
adaptation: ⴰⵙⵙⵣⴳⵉ
adapter: ⴰⵎⵙⵙⵣⴳⵉ
addition: ⴰⵙⵎⵔⵏⵉ
additional: ⴰⵎⵔⵏⴰⵡ
additivity: ⵜⴰⵎⵔⵏⴰ
address: ⵜⴰⵏⵙⴰ
adenosine: ⴰⴷⵉⵏⵓⵣⵉⵏ
administration: ⵜⴰⵎⵙⵙⵓⴳⵓⵔⵜ
adult: ⴰⵎⵜⵔⵓⴳ
advantage: ⴰⴱⵖⵓⵔ
adventure: ⵜⴰⵎⵙⴽⵙⴰⵍⵜ
advice: ⴰⵙⵎⵎⵜⵔ
africa: ⵜⴰⴼⵔⵉⵇⵜ
after: ⴹⴰⵕⴰⵜ
afternoon: ⵜⴰⴷⴳⴳⵯⴰⵜ
again: ⴷⴰⵖ
against: ⵎⴳⴰⵍ
age: ⴰⵡⵜⴰⵢ
ages: ⵉⵡⵜⴰⵢⵏ
agriculture: ⵜⴰⴽⵔⵣⴰ
air: ⴰⵣⵡⵓ
airport: ⴰⵣⴰⴳⵯⵣ
alfalfa: ⴰⵡⵔⵉ
algebra: ⴰⵍⵊⵉⴱⵔ
algebraic: ⴰⵍⵊⵉⴱⵔⴰⵏ
algorithm: ⵜⴰⵅⴰⵡⴰⵔⵉⵣⵎⵉⵜ
algorithms: ⵜⵉⵅⴰⵡⴰⵔⵉⵣⵎⵉⵢⵉⵏ
alien: ⴰⵎⵙⴰⵢⵔⴰⵔ
alien: ⵉⵎⵙⴰⵢⵔⴰⵔⵏ
all: ⴰⴽⴽⵯ
alliance: ⴰⵎⵓⵍⵍⵉ
already: ⵢⴰⴷⵍⵍⵉ
also: ⴰⵡⴷ
alternance: ⵜⴰⵎⵍⴻⵍⵍⵉⵜ
alternative: ⴰⵎⵍⴰⵍⵍⴰⵢ
although: ⵎⵇⵇⴰⵔ
alum: ⴰⵥⴰⵔⵉⴼ
always: ⴱⴷⴷⴰ
amazigh: ⵜⴰⵎⴰⵣⵉⵖⵜ
ambiguity: ⴰⵎⵎⵔⵡⵉ
america: ⵎⴰⵔⵉⴽⴰⵏ
amoeba: ⴰⵎⵉⴱⴰ
amphibian: ⴰⵎⴽⴰⵍⵎⴰⵏ
amphibians: ⵉⵎⴽⴰⵍⵎⴰⵏⵏ
analogy: ⵜⴰⵔⵡⵙⵜ
analysing: ⴰⵚⵍⴰⴹ
analysis: ⴰⵚⵍⴰⴹ
analyzing: ⴰⵚⵍⴰⴹ
anatomical: ⴰⴼⵍⴰⵢⴰⵏ
anatomy: ⴰⴼⵍⴰⵢ
ancient: ⴰⵇⴱⵓⵔ
and: ⴷ
angle: ⵜⵉⵖⵎⵔⵜ
animal: ⴰⵎⵓⴷⵔ
animals: ⵉⵎⵓⴷⴰⵔ
animater: ⴰⵎⵙⵉⴷⵔ
animation: ⴰⵙⵉⴷⵔ
animation: ⴰⵙⵎⵓⵙⵙⵓ
animations: ⵉⵙⵎⵓⵙⵙⵓⵜⵏ
annulation: ⵜⵓⵙⵙⵔⴰ
anonymous: ⵓⴷⵔⵉⴳ
another: ⵢⴰⴹⵏ
ant: ⵜⴰⵡⵟⵟⵓⴼⵜ
ants: ⵜⵉⵡⴹⴼⵉⵏ
antibody: ⴰⵎⴳⵍⴼⴽⴽⴰ
anus: ⴰⵚⵓⴹ
any: ⴽⵔⴰⵢⴳⴰⵜⵜ
anybody: ⴽⵔⴰ ⵏ ⵢⴰⵏ
anyone: ⴽⵔⴰ ⵏ ⵢⴰⵏ
anything: ⵜⵖⴰⵡⵙⴰ ⵏⵏⴰ
app: ⵜⵉⵙⵏⵙⵉ
apple: ⵜⴰⴷⴼⴼⵓⵢⵜ
apples: ⵜⵉⴷⴼⴼⵓⵢⵉⵏ
application: ⴰⵙⵏⴰⵙ
applications: ⵉⵙⵏⴰⵙⵏ
applied: ⵉⵜⵜⵓⵙⵏⴰⵢⵏ
approach: ⵜⴰⵎⵢⴰⴷⴰⵙⵜ
approaches: ⵜⵉⵎⵢⴰⴷⴰⵙⵉⵏ
appropriate: ⵉⴱⵓⵏⴰⵏ
appropriate: ⵉⴱⵓⵏⴰⵏ
approximately: ⵙ ⵡⴰⵜⵜⴰⵢⵏ
apps: ⵜⵉⵙⵏⵙⵉⵡⵉⵏ
