bio: dr
logy: sn
geo: kal
metry: kt
psycho: iman
pheno: uman
socio: amun
patho: aḍn
cyto: aɣras
termino: irm
anthro: fgan
physio: fkka
graphy: skn
typo: anaw
morpho: alɣa
thermo: azɣl
techno: tiknu
im: ar
an: ar
alpha: agm
anti: mgl
auto: man
bi: sin
di: sin
ambi: sin
bis: sin
co: ag
de: ks
demi: azn
semi: azn
hemi: azn
electro: aliktṛu
hyper: afl
super: abr
inter: agr
iso: agdu
equi: agdu
macro: amɣr
mega: amɣr
magneto: adkr
meta: afr
micro: amẓi
mini: amẓi
mono: ayn
uni: ayn
mal: agar
mis: agar
multi: agt
poly: agt
octo: atam
octa: atam
photo: afa
lum: afa
phote: afa
post: afr
pre: azar
pseudo: azun
re: als
sous: adu
sub: adu
tele: agug
trans: ang
aero: agn
astro: itri
audio: sl
visuel: ẓṛ
calo: azɣl
epi: afl
exo: afɣ
gene: ẓaṛ
gone: dis
gyro: azzi
ism: ẓṛ
mero: aful
meter: kt
metro: kt
nome: ful
oxy: uksi
oid: azun
centri: mmas
chrono: kud
circum: azzi
cosmo: mɣrad
cryo: grs
cyclo: las
endo: gns
hetero: ayd
homeo: alu
homo: alu
hydro: aman
holo: amd
hypo: adu
infra: adu
tope: dg
tri: akr
ultra: ang
syn: akd
sym: ayn
pan: akk
pete: aɣr
fuge: asg
para: akn
penta: smus
proto: mnzu
quadri: kuẓ
quasi: aẓ
rheo: angi
retro: afr
scope: ẓṛ
spectro: azrg
spher: bllɣ
stereo: dg
supra: ang
sur: afl
allo: ḍn
picto: 
neo: nut
paleo: 
fumi: ggu
atmo: gniw
chromo: klu
helio: fuk
solar: fuk
luna: yr
nomy: sn
strat: dala
centi: miḍi
dec: mraw
div: bḍu
fract: ṛẓ
frag: ṛẓ
grad: fsna
carbo: rrig
ist: amẓṛ
baro: stl
eco: naḍt
halo: isn
crust: frkki
flu: nɣl
aqu: aman
grav: ẓay
kine: muss
hex: ṣḍiṣ
sex: ṣḍiṣ
hept: sa
sept: sa
kilo: fḍ
milli: fḍ
nov: tẓa
tetra: kẓ
dia: azgr
node: ass
ob: mgl
chloro: zgza
herb: mɣi
cata: adu
dynam: mussu
enter: gr
gram: skl
neuro: zllum
oculo: tiṭṭ
omni: ak
ovum: glay
ped: ḍaṛ
phaeo: dmn
phage: cc
carn: ksum
locus: dg
leuco: mlil
zoo: mudr
andr: wtm
bar: adr
phyto: mɣi
phyte: mɣi
soma: fkka
stasis: srs
cardi: ul
caryo: ɣyay
chemi: akru
cyan: nili
lyse: slḍ
mele: gmam
meso: mmas
myo: ksum!
necro: mmt
nucle: ɣyay
odot: ɣmas
gluc: lgɣ
gyn: tawtm
hepat: asa
isch: bdd
kali: 
kines: mussu
able: zmr
type: anaw
ode: br
nucleo: ɣyay
pero: afl
path: aṭṭan
ide: alɣ
sol: afs
urano: gnna
some: fkka
telo: ggru
crypto: ntal
logist: amsn
phil: ayr
phily: ayr
philo: ayr
phoby: awf
onto: illi
ion: iddu
ortho: abd
ortho: aɣd
extra: afɣ
excen: afɣ
deca: amraw
phone: amsl
bary: aẓi
differo: aẓli
topo: dg
meto: ayḍ
nym: ism
manu: fus
termo: zɣl
